reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOH9LkgOKILUwkdfWPzCBgd2NydYDC0fxVHa8G-gwNxj7glw_7OmiM4zWX2PcW8GhrgeIZYqHQOC9VDZdgQ,Valkyrie,https://play-lh.googleusercontent.com/a-/AOh14GjPuCDbGaHNPcRL_pnvuof2AplBYq1Ax1mtj_arPA,"If you're wanting to download this app to try and be able to help or do something right for once (like I did), don't. Whatever system they use to reach out to people clearly seems to favor selecting people who have successfully answered calls before. I've received (among their pointless emails talking about other people's success) one email detailing I missed a call (despite receiving no notification). And only had one call in which I stared at a 'connecting' alert for 15 minutes.",2,41,1.7.1,2022-01-19 16:18:35,"Hi, we are really sorry that you have had this experience. It doesn't seem normal that you have experienced these issues. Could you please reach out to us at info@bemyeyes.com and tell us more information so that we can fix the issue? Thanks, it would be greatly appreciated!",2022-01-20 08:39:51
gp:AOqpTOGyeWcmPS2sAARki_BKwfh2gE6m-boam2v5OEaPy1X-mJHDgqaqPDDaqxp3DFLiTvEKk48XFaseh_LJaII,Jenna B,https://play-lh.googleusercontent.com/a/AATXAJzanGbNoY1QX0sI_nyIvusyYWrvwc9osBAZeqgz=mo,"*3/19/22 I have now gotten an additional six phone calls, perhaps because I have a good history of answering and having calls connect. It also seems to help if you occasionally open the app. I'm not sure why. Original review: Signed up July 2019 and got my first call this evening. I actually got a call a few months ago but nothing happened so I believe that means someone was faster than me. So glad to see the copious amount of volunteers!",5,20,1.7.2,2022-03-19 21:48:17,,
gp:AOqpTOFW9mKF7sQNEQ9KzUywixqCYZJBftVo6BNlG96AMly0ZIhMMR-qsk0WI_y-Cg2LTibhlG-4I29m_UxhNDs,Tai Yustat,https://play-lh.googleusercontent.com/a-/AOh14GghlNv_WnBe6ZxSvrmHpqVGCkZRZBitt1PstwmUUg,"Update: happened again 02/11/2022 01/09/2022:""Trying to answer"" I had just downloaded the app & was watching the instuctional video when I got a real call. The lady asked me a question & my screen was black & the screen read ""trying to answer call"" with a blue loading wheel. I was so excited to get to help someone so quickly but so sad that the call video didn't connect. We could hear each other. I just couldn't see anything. Fix this please. Seems like a lot of people are having the same issue.",1,38,1.7.2,2022-02-11 17:12:02,"Hi thank you so much for volunteering and for leaving feedback! Sometimes, these issues can be due to poor connection, however, I will bring the issue up with our development team to find a solution. Thanks again, and I hope you will receive another call soon!",2022-01-10 12:30:10
gp:AOqpTOGqWuYQI0OYVlMnczd7H8E3z1KOVXktN3PdKFE8yqZcH3TmnTkH5XJ6wkgkL1t7xyqYYeGfzeXQadWVYLA,Ems Niejadlik,https://play-lh.googleusercontent.com/a-/AOh14GgyiUDPlAqWnH2D0NuCaFqUtMKrxoCErd0mPklSyA,"Great app, here's a tip: I've had the app for over a year and I just found that on Android devices your permissions can be removed from the app if it's not opened every few months. To get around this go into your settings and go to the Be My Eyes app settings, there should be a section for Permissions. Click that and make sure to turn off ""remove permissions if app isn't used"". This was causing my connection errors and was not allowing me to connect with calls. Hopes this helps!",4,157,1.6.9,2021-12-23 17:33:19,,
gp:AOqpTOGkq-Nn0Zy4z0baJ1HujyYRPjC-TMu7xfUDRlosXDHElTLrtn2RkPkF8FYJaumcWzRysyiWGOEnH_TjMVw,Eric Ramseur,https://play-lh.googleusercontent.com/a-/AOh14GjerQVOY5qvCd9ZpLETaOsVFB8CLlQh1rcp15VUV8M,"Edit: I'm lowering my review as nothing seems to have changed. Now I can't even hear anyone, much less assist. I downloaded the app yesterday and got my first call today. I was super excited to help. For two minutes straight I could barely hear the person and got a ""trying to connect call"" message. I walked outside and disconnected from my wifi thinking that might be the issue. It felt terrible not being able to help someone when they called. I look forward to changing this review to a 5 star.",1,95,1.6.7,2021-11-15 15:17:42,,
gp:AOqpTOFgFNFO3xxB_ZAb2zSVyDUp5P4gKCaejLB2J1AFErM5awNBxR6KRDpauri1rHOmuKnMdU4NP8Afmqv8-LQ,Victor Lusardi,https://play-lh.googleusercontent.com/a-/AOh14Gg_a4_YHkTSXFKrqQID13p2S-yUrDQ2bZaQhoqk,"Haven't used this app yet, but the idea is so awesome. I hope I get a call to help someone out. Hopefully this goes to the top of the reviews list, I doubt it. But Incase it does- I'm seeing people say it won't connect to calls, but I saw a review or 2 say to go into settings, go to 'be my eyes' app., Go to 'permissions' and UNCHECK where it says 'remove permissions if app isn't used', and that fixes the connection issues. If an app isn't used for a while your phone removes it's permissions.",5,14,1.6.9,2022-01-01 09:02:54,,
gp:AOqpTOHqA8FaJI6e9VNP4uO3x__LJ4jGHtEBE7Jw0-GspyJhGuEpa3lDYPePHeekrFptDOar6xOePwFghvDtpCQ,antoine anderman,https://play-lh.googleusercontent.com/a-/AOh14GhULmdBEdSgs-op233s3adB7BIfsWEocU6sCbPjjag,"Can you make an option that takes high resolution screenshots that stay within the app and are deleted at the end of call for privacy. I just helped a person trying to identify a measuring spoons quantity , the video quality was so low I barely could identify what the measurement was. I can't help the blind if I'm technically ""blind"" too. Mahalo for your consideration. Otherwise excellent experience with very friendly and thankful users!",4,23,1.6.9,2021-12-01 05:18:52,,
gp:AOqpTOGDJrYJMbVbkux2EZ4WqLk1K3NKkxo1ayLrL6hv0TYhMHY08haACngGaRDouy_X6DPVl8aQjJYP0o6hd4s,Allison McGee,https://play-lh.googleusercontent.com/a-/AOh14GhqL2XI4-CJ0AnfTTprM-wrSFrma296kWjUhvMU,"Great idea, if the app actually worked. Most of the time the answer button does not work. When I can answer it, it turns back off and says error. I can't even use the send us feedback button because it doesn't go anywhere. The app is updated, I have had 2 different phones while also having the app. It has never worked.",1,49,1.6.7,2021-11-04 04:02:42,,
gp:AOqpTOEsJ_WIMPO3hc5Ma0usZXjO10eYOIPo562uL1zqnybTHY3WAe4ji2B79uY9xLVqyNQYcFh60Ciu20I2G7c,Bailey Reynolds,https://play-lh.googleusercontent.com/a/AATXAJz4L47Y3ra2tGUhWF19gAhgcoBFcmlFa5hUCiV_=mo,I love the concept but it doesnt work. I was so excited and actually got my first call rather quick and it never connected. It just spun for awhile saying trying to answer call. What is the point of this great app if you cant help the people that need it?? I was very sad and had to eventually hang up which will place me back in the queue somewhere.,2,29,1.6.7,2021-11-20 13:10:13,,
gp:AOqpTOEIMfSD3XN_MPc6NYBy18B7ACJDFZwNOiKmKSD7OlTE0OIPace-4ehTHm55On3Z1cyDrO_QKM5C3e0ynaY,India Dunlap,https://play-lh.googleusercontent.com/a-/AOh14GiO96iTTs4qCuko8SqDpzMrFtkSb8K0HObqdp0HIA,I got my first call after 2 years with this app and was IN TEARS because it wouldn't connect. I felt so helpless knowing someone was trying to get help and we couldn't get connected. Boooo!! How stressful this must be for the unsighted users. I'm still upset an hour later thinking about them and wondering if they were able to access help.,1,35,1.6.7,2021-12-11 14:57:27,,
