Title,Link,Posted_on,Budget,Description,Country,Total_jobs_posted,Open_jobs,Total_reviews,Rating,Total_hires,Client_since,Client_spent
Automotive Blog Writer,https://www.upwork.com/job/~0186ea4215366e6d07,2021-07-12T21:48:14.660Z,0 USD,"We’re looking for a motivated creative writer who is passionate about crafting compelling blog content for the automotive industry. As part of our team of writers, you will be a contributor on an up and coming auto blog reaching nearly 100,000 monthly readers and rapidly growing. You will create meaningful connections with our audience by uniquely translating the article topic, with SEO and other best practices in mind, in order to deliver a succinct, engaging and entertaining message. 

Blog topics, keywords and general direction for each blog article will be shared with you in an upfront briefing session. Some articles will be more technical and research heavy, while others will be fact-based assessments. To be successful, you must be willing to have fun, dig in, and be curious!",United States,6,2,1,5,4,2020-07-27T00:00:00.000Z,42679.75 USD
DTC Luxury Beauty Email Marketer,https://www.upwork.com/job/~01a15df1dea5372db2,2021-07-12T20:55:21.406Z,0 USD,"DTC LUXURY BEAUTY EMAIL MARKETER

XenoPsi is a globally distributed agency of entrepreneurs, creatives, programmers, and strategists who are passionate about transforming amazing ideas into the world’s next great companies. As growth partners, we occupy a unique position at the intersection of consulting and marketing, which allows us to execute bold solutions that generate real business results for our client partners.
 
XenoPsi Growth Partners is seeking an experienced part-time (approximately 10 hours/week) Email Marketing Specialist for a DTC luxury beauty brand. The ideal candidate for this hands-on position must be knowledgeable of advanced email marketing tactics and possess extensive experience creating and executing campaigns that drive sales and increase customer loyalty.  This individual must have a passion for beauty and skincare, and the ability to provoke must-have behavior for luxury brands through irresistible content. 

This role will be responsible for leading the email marketing strategies, conceptualizing and writing best-in-class email content, and executing all email marketing campaigns from end-to-end. This includes management of the email platform, active management of email databases and all lists, as well as monitoring and optimizing all email campaigns to achieve or exceed performance goals. Our Email Specialist must be a hands-on, strategic problem-solver who can deliver high-performing campaigns with the high-quality content befitting a luxury brand.  

Responsibilities:
Develop email strategies and corresponding campaigns, including newsletters, promotions, and automated email flows 
Develop content calendars, concept ideas, and write emails 
Work closely with the XP Growth Consulting team leads to ensure content is aligned with the client’s strategy and brand identity
Partner with designers and programmers to conversion optimized yet visually compelling email templates
Analyze campaign performance and suggest improvements to minimize unsubscribes improve performance 
Manage and maintain the brand’s email marketing platform
Ensure best practices and policies are in use, including mobile-friendly templates, advanced features, etc.  
Identify target audiences, manage and maintain hygiene of email lists 
Proofread emails for clarity, grammar and spelling
Stay up-to-date on current beauty and skincare trends
Develop and maintain expertise on the brand and its products 

Qualifications: 
5+ years of demonstrated experience managing, producing, and creating high-performing email marketing programs within the beauty space, including:
Content marketing campaigns
Sales and promotional email campaigns
Automated email flows 
Excellent writing and communication skills (native English speaker)
Incredible attention to detail
Technical knowledge and hands-on experience with email platforms (Klaviyo experience is a plus)
Passion for performance marketing with endless ideas to share 
Proficiency in marketing automation technology
Some knowledge of SEO/SEM and Google Analytics
Familiarity with analytical and database tools
Actively pursue and develop knowledge on email best practices, new tools, etc. 
Ability to work under pressure and tight deadlines 
4-Year College Degree in Marketing, Public Relations, or Communications 
",United States,159,5,35,4.96,57,2007-03-18T00:00:00.000Z,398198.56 USD
"IT System Administrator, Remote help with small IT Consulting Firm",https://www.upwork.com/job/~01f16306fb500026d0,2021-07-12T19:53:07.633Z,0 USD,"I'm looking for someone with daytime availability to assist me with my IT client's needs. An ideal candidate might be someone who works full time in IT currently but has extreme flexibility in scheduling which would allow them to help with my clients during the day. 

If you decide to apply, I may choose to reach out to you via Upwork chat. If you don't respond within an hour then I likely will move on. Your quick response through Upwork chat shows me a glimpse of your ability to communicate timely.

You'll do tasks from password resets to firewall config to virtual management to Windows server management to desktop support to Office 365 migrations and support and various other tasks. 

We support many clients across our state and need some help handling the needs. 

Hours will vary each week and are not guaranteed but the right person can start this week and will have daytime availability THROUGHOUT THE DAY, EACH DAY. Dependability, Customer service and communication are top priorities. It's essential to this job. You'll be responsible for seeing an issue through all the way to the end with minimal interaction from me. If you fit this criterion please apply and we'll chat.

Hours can be up to 10 per week and average about 5 per week. You will have to work some evenings, on your schedule, to perform updates, installs, troubleshoot, etc. We will communicate every day of the workweek. You must have availability during the daytime every day. If you work a full-time job and you're just looking for work in the evenings then this isn't the position for you. 

You must have the desire and ability to reach out directly to clients as needed and work through issues with them. Sometimes I'll give you minimal information and you'll need to be resourceful and figure it out. You will have the tools you need like a phone app, remote connection tools, passwords etc. You will be required to keep in communication with me and with the client. 

You will be required to sign a non-compete and a contractor agreement. 

You will need to keep up with your time entries in our RMM tool as you're working on tickets- this means time entries each day. Adding your time entries at the end of each billing cycle isn't acceptable. Documentation is very important. If this is something you struggle with and don't think you can keep up with it then please don't apply.

I have one level one employee who handles most of the desktop support and the on-site support. You will need to be there to assist him with more complex windows, networking and server-related tasks.

I need someone who has very detailed VMware and veeam experience. 

Ideally, you'd be located East coast or Central time zone.

Skills needed:
- Communication skills above all else
- Dependability
- Customer service/ friendliness 
- Windows Server management including AD, DHCP, DNS and others
- Firewall management including Watchguard and Sonicwall
- Network management
- Other tech skills as needed
- Virtual machine management including VMware and Hyper-V
- veeam
- Ability to discover information on your own without much guidance
- Ability to take and keep notes on your own
- Ability to contact clients on your own, follow through with issues until they are completed
- Daytime availability to answer calls and resolve support tickets
- Work some evenings to install updates and other projects that can't happen during the work day
- You're OK with communicating with me via text, phone and email every work day so I can give you task details and get updates from you.

PAY: I can only pay about $30 per hour. So if your posted rate on Upwork is higher than that please send me a proposal around that number. Otherwise I likely won't consider you as I don't want to waste your time. I can only afford that number.",United States,246,2,117,4.87,129,2011-11-04T00:00:00.000Z,27348.2 USD
Creative - Marketing Writer - Digital Marketing,https://www.upwork.com/job/~0149a60614a685213a,2021-07-12T19:24:07.000Z,0 USD,"Do you like interesting challenges and seek to continually grow as a professional? Are you a self-starting problem solver who thinks on your feet? Do you enjoy helping companies achieve marketing success? If so, Cazarin Interactive is looking for the right person to join our team as a Marketing Content Specialist, and you may be the right fit. The Marketing Content Specialist will work closely with our team and a wide variety of B2B and B2C clients to create and execute successful digital marketing strategies and the development of text content, posts, blogs, etc.

Branding companies, collaborating with our team to create website and marketing project plans based on client needs and project scope that lead to improved key performance indicators

Communicating with subject matter experts to create compelling content and campaign assets that fit with the associated brand and strategy

Development of blogs in different subjects for a variety of industry verticals

Supporting our project managers to troubleshooting and resolving project challenges

Taking responsibility and ownership of the quality, timeliness, and effectiveness of active marketing efforts and campaigns

Maintaining professional and technical knowledge, keeping up with and applying the latest best practices

Skills: An ideal candidate will demonstrate proficiency in the following areas and be able to successfully conduct each according to current best practices:



Content/Copywriting

Website Page Content

Landing Pages

Blog Content

Email Marketing

Social Media Posts

Brochures

Ad Copy

Editorial Calendar planning

Marketing Strategy

Inbound Marketing Planning

Brand Positioning, Messaging and Strategy

Blogging, Posting in Social Media

Competition and Market Research

Search Engine Optimization

Non-US Citizens/Freelancers are welcome to apply.",United States,122,1,94,4.89,108,2018-05-25T00:00:00.000Z,35387.83 USD
Copy Writer Strategist for large rebranding engagement,https://www.upwork.com/job/~014c0cc1f2a06206e1,2021-07-12T17:40:09.159Z,0 USD,"Amazing opportunity to co lead the rebrand of traditional services business into modern era. Think Acorns, lemonade insurance, where the narrative was completely flipped from traditional approach to selling insurance to the angle Lemonade took. 

Our marketing department is looking for an experienced copywriter to fill the role of Brand Copywriter & Strategist. The right candidate for this position will have a strong portfolio of writing experience, primarily focused on brand messaging development.

Day-to-day work may vary, but the Brand Copywriter & Strategist will focus the bulk of their work around brand messaging, marketing campaigns, corporate communications, and sales enablement – including:
• Deep understanding of our target market and the client brand to craft compelling copy.
• Owning the clients brand voice alongside the Marketing Director and Brand & Communications Manager.
• Collaborating with the marketing team to strategize, develop, and execute..

 Brand Copywriter & Strategist must meet the following minimum qualifications:
• Powerful attention to detail.
• 3-5 years of proven copywriting experience, including branding, creative copy, long form, and short form.
• Strong at writing sales-initiating materials.
• Able to adapt to brand standards (multiple at a time) and write on behalf of an organization or its individuals.
• Deadline-oriented with solid organizational skills that enable quick turnaround times.
• Flexible professional with a can-do attitude.
• Technical capabilities allowing the candidate to see copywriting end-to-end in CRM and other software.
• Proficient with Microsoft Office Suite.",United States,99,2,42,4.69,64,2016-10-16T00:00:00.000Z,126940.7 USD
"Admin , Customer support , PMO",https://www.upwork.com/job/~016ae09a77e8b40a7f,2021-07-12T17:08:23.364Z,0 USD,"We are looking for mix role a senior postion  SAAS based project and Admin work for AI Tech company

Customer support
project tracking and management 
Hosting staff meeting 
Followup with client 
Followup with CEO

https://www.thedevmasters.com/learning-management-system

Apply with proof of work and history in similar role",United States,214,8,45,3.45,78,2014-07-10T00:00:00.000Z,59466.77 USD
"B2B Content Writing - Blogs, bios, press releases and more",https://www.upwork.com/job/~010dd338deba8fa4df,2021-07-11T17:52:09.651Z,0 USD,"Marketri, a strategic marketing consultancy, is looking to bolster our freelance content writing team.  Our firm and clients have a great need for carefully crafted, original, insightful, and clever content. Occasionally, the content can be a bit more technical and specific (like a case study or a white paper).

We are seek an individual or individuals with 10+ years of content marketing experience, which would include blogs, white papers, case studies, bios, and web copy.  B2B experience is preferred. The first project will be to write two blogs for Marketri so we can get a feel for your writing abilities before working with one of our clients.  For these blogs, you will interview one or more Marketri team members.",United States,115,4,65,4.99,86,2015-10-18T00:00:00.000Z,183726.04 USD
Seeking Project Manager for WordPress Website and Other Software Development Projects,https://www.upwork.com/job/~01d8cff9ff5cce5c80,2021-07-10T11:50:37.941Z,0 USD,"Essential IT is a family company founded by two brothers who are great at technology and also care about people. We pride ourselves on creating incredible value for our clients while building long-lasting and connected relationships with each customer. Value is the name of our game. Because of this, our company has only ever expanded. Beyond this, we are the kind of company that looks out for our people and makes sure each of our staff develops towards what is next for their career. We view each of our staff as a relationship we will have for life and treat people accordingly.

We are looking to hire a Project Manager for the current and future technology projects we are taking on with our clients. This person would be a liaison to each client while managing our development team to do the work on time and to client satisfaction. This person would be accountable for timelines and budgets as well as fostering a wonderful relationship with each of our customers and the key people in their organizations. As we grow, we see this person becoming a Senior Project Manager with an assistant and/or full time junior PM underneath them. Ultimately this person can be trained to take on a management role in operations for us as well. 

If you like to be a part of a team of people that are out to make a positive impact in the world and you are also the kind of person that likes to be accountable for the whole of a game and win at it, this may be a perfect next step for you. Must be tech-savvy, sharp, detail-oriented, based in USA, fluent in English, and effective working remotely.

We are looking for an applicant that can work during a North-American time zone work day and has project management experience in the website development process (from strategy to launch) to manage our website projects. Many of our current projects involve WordPress development and SEO. 

You won't be doing the work, you will be meeting with the clients, understanding their needs and managing our team (developers and marketers) to ensure the client gets what they need. All work will be accomplished virtually (email, phone, Zoom, Skype, etc). 

This is a great industry and we have great clients. We have been working off referrals only for 18 years and are growing our business annually. We can give you as much work as you can handle.

Activities
Obtain Project Specifications
Gather anything else necessary for successful project turnover from sales
Delegation of work to developers
Follow-Up all work delegated to developers
Continual Follow-Up With Client (daily/weekly as needed)
Verifying client satisfaction with current work completed as often as possible/as necessary
Reporting Timeline/Budget/Progress to Management
Attending Progress meetings
Giving Progress Reports
Handling client concerns
Handling client upsets
Issuing change orders
Daily assessment of new actions to take to keep fidelity of timeline and budget
Using/Understanding necessary terminology for project

Accountabilities                
Obtaining all necessary information to be able to promise outcome, timeline, and budget for every project
Make certain of client approval for every stage possible in each project                
Making certain all work is completed by resources on time                
All projects are completed on time, on budget or better, and completely to customer satisfaction",United States,28,1,8,5,20,2017-04-04T00:00:00.000Z,112888.21 USD
Senior Back-End Python Developer - US Citizens Only (7/9/2021),https://www.upwork.com/job/~0199b1363a8f81ae94,2021-07-09T19:31:27.175Z,0 USD,"We are looking for a Senior Back-End Python Engineer with strong skills in Python 3, Flask, and Postgres. ActivePrime is building a brand-new, highly scalable SaaS platform to solve massive CRM data problems at massive companies. This is a senior role on a team, not a project, and potentially full time. We need senior technical talent to help work on some very interesting problems. Fully remote, US citizenship required. We look forward to hearing from you!.

Challenging Problems

Building a truly simple product can be an extremely complex undertaking.  Our goal is simple: clean CRM data easily, and in many cases automatically, for some of the largest and most successful companies on the planet.  Under the covers though, we have challenging problems to work on, like data matching algorithms, high-speed indexing, and streamlined data comparison at the user interface level.  If complexity management sounds appealing, you could work on organizing and testing our enterprise-class customer data rules engine or dig into super hard enterprise data search problems.  Imagine building solutions that are fast, scalable and robust, with results beyond anything on the market today.  If all this sounds appealing, we want to hear from you!

Mandatory Job Requirements:

- 5+ years of experience & strong proficiency in Python and Flask.
- Writing highly performant, scalable, and efficient code in Python (Flask) with Postgres.
- Experience in working with databases like Postgres.
- Good knowledge of authentication using OAuth 2.
- Experience in designing modern well-documented REST APIs (OAS) and API integration.
- Building and shipping SaaS software.
- Good communication skills working with email, chat Google docs, phone, and tools such as Slack, Zoom etc.
- Very comfortable reaching out and communicating with others (both verbally and written) about engineering projects.
-Identify and resolve bugs and issues across applications as they arise and self test the fix/feature on local before sending PR as the first line of defense. 
- Ability to locate and leverage Python modules in-app or in open source.


Preferred (but not mandatory) :

- Experience with at least one SaaS CRM system like Salesforce.com, Microsoft CRM/Dynamics, Oracle CRM On Demand, or SugarCRM and their APIs.
- Strong proficiency in Github/Gitlab, implementing Continuous Integration and Continuous Deployment (CI/CD) build systems and Test Driven Development (TDD), Pipeline in an agile workflow.
- Knowledge of app development and javascript/typescript frameworks: Vue or Vuetify/VueTailwind. 
Implementing Containerized deployment and container orchestration using Docker and Kubernetes (or similar alternatives).

If you are good with details, please start your cover letter in all caps with “I AM DETAIL ORIENTED AND HAVE READ THE POSTING COMPLETELY.”  Thank you!",United States,701,17,295,4.88,327,2015-08-11T00:00:00.000Z,1046782.12 USD
Chief Product Officer,https://www.upwork.com/job/~0165a7c51eb2e296fd,2021-07-12T09:58:17.615Z,0 USD,"ABOUT THE ROLE

JoinMyTrip is looking for an experienced and passionate leader to oversee our Product. The Chief Product Officer is in charge of building and organizing the product team. He or she defines and executes our product roadmap - empowering our users by building the most advanced and user friendly travel platform.

- Set the overall product vision, objectives, and initiatives to support the company strategy
- Plan and execute the product roadmap defined by you
- Ensure that our product is a driving force for growth
- Be part of the management team
- Structure teams and interactions to minimize friction and maximize clarity
- Deeply understand the problems, needs and desires of customers to build excellent product experiences
- Ensure initiatives run smoothly across internal teams, customers, and stakeholders
- Have a keen eye for data; make objective, data-driven decisions
- Define metrics related to product performance and track them on an ongoing basis
- In charge of initiatives across the entire product lifecycle: from discovery and user research to development and delivery
- Work closely with Business Development and Marketing 
- Facilitate communication and collaboration across the company
- Adroitly balance being a key strategic leader, a visionary product evangelist and rolling up sleeves to be an individual contributor on a daily basis
- Be an exceptional people leader by interviewing, hiring, mentoring, and growing a high 
  performing product and design team
- Build career tracks for all kinds of designers - making JoinMyTrip a great workplace!

YOUR SKILLS

- Bachelor of arts / mutlimedia design / user experience / similar
- 7+ years of product-design & -management experience 
- Proven track record in defining industry leading products
- Experience in bringing consumer (preferably sharing economy) products to market
- Strategy experience in Consumer solutions and customer acquisition
- Previous ownership of different workstreams & teams
- Creation of product-based growth models
- Nimble and flexible with a huge sense of urgency and a positive can-do attitude
- Creative thinker and a strategic problem solver
- Quick learner who loves co-creating with others and building team cohesiveness
- Understanding of current and future market trends

ABOUT YOU

- You believe in building a culture of learning, knowledge sharing and collaboration.
- You are a team-building powerhouse
- You know your operational metrics and know how to keep delivering high quality products
- You thrive on a high level of autonomy and responsibility
- You have excellent creative thinking, problem solving, and communication skills.
- You are a leader that serves your team, empowers them, inspires them, and helps them grow, but knows when to hold them accountable as well.

ABOUT US

JoinMyTrip is a travel tech startup from Hamburg that is lucky enough to work everyday on what makes people happy - vacation! Our international team consists of globetrotters, that happen to be mostly tech-nerds and marketing lovers. We strongly believe that travel can change people for the better, especially if they can share the experience with others.",Germany,10,1,4,5,5,2018-08-22T00:00:00.000Z,120929.25 USD
