Title,Link,Posted_on,Budget,Description,Country,Total_jobs_posted,Open_jobs,Total_reviews,Rating,Total_hires,Client_since,Client_spent
|| Unity developer required Mobile App development ||,https://www.upwork.com/job/~01b3730c9441a8821b,2021-07-09T10:56:40.713Z,5000 USD,"Based on In-vision and FRS

Need a quote for following [4 milestones for complete development]

M1. POC iOS & Android both

M2. iOS  fully functional [API will be provided by us]

M3.Android fully functional [API will be provided by us]

M4. Go Live and Signoff",United States,125,8,34,4.7,56,2017-08-15T00:00:00.000Z,22288.67 USD
|| Unity developer required Mobile App development ||,https://www.upwork.com/job/~01b3730c9441a8821b,2021-07-09T10:56:40.713Z,5000 USD,"Based on In-vision and FRS

Need a quote for following [4 milestones for complete development]

M1. POC iOS & Android both

M2. iOS  fully functional [API will be provided by us]

M3.Android fully functional [API will be provided by us]

M4. Go Live and Signoff",United States,125,8,34,4.7,56,2017-08-15T00:00:00.000Z,22288.67 USD
|| Unity developer required Mobile App development ||,https://www.upwork.com/job/~01b3730c9441a8821b,2021-07-09T10:56:40.713Z,5000 USD,"Based on In-vision and FRS

Need a quote for following [4 milestones for complete development]

M1. POC iOS & Android both

M2. iOS  fully functional [API will be provided by us]

M3.Android fully functional [API will be provided by us]

M4. Go Live and Signoff",United States,125,8,34,4.7,56,2017-08-15T00:00:00.000Z,22288.67 USD
|| Unity developer required Mobile App development ||,https://www.upwork.com/job/~01b3730c9441a8821b,2021-07-09T10:56:40.713Z,5000 USD,"Based on In-vision and FRS

Need a quote for following [4 milestones for complete development]

M1. POC iOS & Android both

M2. iOS  fully functional [API will be provided by us]

M3.Android fully functional [API will be provided by us]

M4. Go Live and Signoff",United States,125,8,34,4.7,56,2017-08-15T00:00:00.000Z,22288.67 USD
Looking for Unity Game Developer to build a mobile game,https://www.upwork.com/job/~01c8ce2d639e0ece44,2021-07-20T16:35:22.410Z,0 USD,"We are looking for a experienced Unity developer who can build mobile game for us. We’re developing a Visual Novel (like Chapters, Choices, Tabou). The game will be published for both iOS and Android.
Because players can choose their own path, the story can be represented as a graph. Core component of the game is .json file which contains one chapter of the book. When user starts a chapter, the game then iterates over the graph, node by node. Different types of nodes have different meanings. Based on node types, different views are presented to the user (or some background work is done). When user makes a choices, he enters certian parts of graph and skips others. Basically, there are multiple ways to go from Start to End node of the graph.
There are two types of hard currency and one type of soft currency. User can buy both hard currencies for real money or he can exchange soft currency for hard currency (but just one type). Hard currency is used to unlock new chapters, choose premium choices or outfits.
Users are rewarded by watching ads, completing daily challenges or achievements. Also there is option for Social Login.
What are we looking from a developer:
- To write clean well organized code
- To test the features he’s implementing
- To keep track of tasks he’s doing
- To be communicative
Developer needs to be experienced in following (or similar) technologies:
- Firebase
- Adjust SDK
- Ironsource SDK
- Unity IAP
- Unity Cloud Diagnostics
- Spine
- DoozyUI",Croatia,66,2,11,4.8,17,2014-11-16T00:00:00.000Z,25960.05 USD
"Unity Game Developer - Game Development (Full Time, Long Term)",https://www.upwork.com/job/~0116ec02237505c422,2021-07-19T11:00:34.421Z,0 USD,"Hi there! Are you a great Unity Developer? We are looking for you to join our team.

About us: 
Megarama is one of the top employers on Upwork with very high employee retention rate, spending over $2,000,000 on the Upwork platform. 

Megarama is founded by 2 veterans of the mobile industry, having produced and published hundreds of apps and games since 2012. Today we run a fully remote team from all around the world. Also we are looking to expand and we need your help! 


What we need:
We are looking for Unity Game Developers to join our team full time. You will be working on new projects from scratch.

About you:
Ideally, you should be a top class expert Unity developers and a good communicators, able to work with minimum feedback.",Israel,372,5,120,4.94,189,2015-12-31T00:00:00.000Z,2614016.47 USD
Full Stack project on WebGL Unity App Incl. Games,https://www.upwork.com/job/~0134d4aff873f805ff,2021-07-18T13:40:08.255Z,0 USD,"(this description was not wrote properly, sorry. I am rewriting here.)
This work is for an indie game development project.
Looking for medium level Unity Game Developer.
The game runs on WebGL and Unity as well as Javascript for some part of the page.
The project is indie but its size is not small, its scope is fairly large and we need people who can manage complex tasks, who are experienced or a quick learner on frontend and backend of Unity development.

Even if you are a junior developer, as long as you have base knowledge of Unity development and if you have the ability to quickly learn the tools, you should apply to this job.

Further details will be talked in private messages.
Thanks for understanding.",Japan,3,2,1,5,2,2019-11-12T00:00:00.000Z,27879.16 USD
Technical Lead - responsible for planning and overseeing the technical aspects of a project,https://www.upwork.com/job/~01dea1559afe8df5c8,2021-07-17T02:37:01.918Z,0 USD,"The Technical Lead is responsible for planning and overseeing the technical aspects of a project,  you will report to and work with the Project Manager. You must be able to take technical concepts, describe them to the Project Manager as well as provide task breakdowns, project architectures and time estimates.

You must have experience with mobile app development with at least some exposure to the Unity game engine. Full Stack, games, AR or VR development experience is a plus.

You will be expected to virtually attend team and client meetings. Consistent internet and clear verbal communication is a requirement. 

This is a full time position, and we expect the workload to be up to 40 hours a week. You will be expected to be available to attend daily stand ups, coordinate with a distributed multidisciplinary team, and complete all tasks on time and to specification. This is a remote work contract, but the worker must be available for 6 hours of overlap time with California (PST) daily, between 9am-5pm PST.  

Role Overview
* Create architecture, task lists and technical design documents for assigned projects. 
* Implement high quality code.
* Attend team meetings, including project kick-offs, stand ups, and additional meetings as required.
* Work in partnership with a non technical Project Manager to keep the Project Manager informed on the technical aspects of the project. 
* Review and comment on technical deliveries by other team members.

Qualifications & Skills:
* The ability to step into a project and determine the best technical ecosystem for that project’s needs and then move into operating in that ecosystem is the most important skill for you to have. Past that;
* Experience in Laravel and Unity is required.
* Experience in MongoDB, Express, React, Node. C#, Flutter and Firebase are prefered.
* Write clean, efficient, well-documented code.
* Strong written and verbal communication skills, including the ability to communicate issues and report project design and status to a diverse non-technical audience
* Must be detail oriented, quality driven, straightforward, self-motivated, and proactive
* Able to work independently, creatively, and track multiple deadlines to success
* Able to accept constructive feedback on your work
* Proven ability to multi-task and manage multiple complex initiatives simultaneously
* Proven history working in collaboration with multidisciplinary teams
* Previous experience in developing games or applications and implementing best practices
* Experienced with software development methodologies as well as build and release procedures
* Experience with project management or task tracking systems such as JIRA, Trello, or Pivotal Tracker preferred
* Must have at least 4 hours overlap with the Studio time 9am to 5pm PST.

Working Conditions
We are a fully remote company, and you will need to supply your own tools, including a computer that is connected to stable high speed internet, and a headset with clean audio for meetings.",United States,354,6,126,4.94,141,2013-05-31T00:00:00.000Z,486689.49 USD
Multiplayer Online Voxel Game Development on Unity,https://www.upwork.com/job/~0158f9800f8e80a3ce,2021-07-15T17:21:20.176Z,0 USD,"Looking for a game development agency to create a prototype of online multiplayer voxel game.
Unity Voxel Play engine should be used as a base and upgraded to support multiplayer and new objects.
https://assetstore.unity.com/packages/tools/game-toolkits/voxel-play-106618

Required talent
- Voxel objects artist
- Backend editor
- Unity developer
- game consulting",Lithuania,113,3,50,4.81,52,2015-01-18T00:00:00.000Z,36210.43 USD
Texas Holdem Poker Real Money App,https://www.upwork.com/job/~0146323e2dc2c57d2d,2021-07-13T16:28:12.413Z,0 USD,"We are looking for a poker expert to build a crpto poker application for real money. Web and mobile apps. We already have the crypto payment gateway that we will integrate in the system.

Looking to start with games like Omaha5 and Texas Holdem. Eventually we will add tournamet play, sit and go and more types of tables.

Application must include an admin panel where we will be able to manage players and agents from all aspects of the business. Including chips count, revenue from rake, revenue from agents, total deposits, withdrawals and so on...

In order to work with us, developer must have knowledge in how poker apps work (Rake, Cap, Agent system, Referrals) etc.",Spain,94,1,32,4.99,42,2017-10-25T00:00:00.000Z,46153.57 USD
